Country,Continent,Population,Percent Evangelical,Percent Christian Adherent,Percent Unreached,Primary Religion,Unreached People Groups
Egypt,Africa,117980000,2.4,9.5,71.1,Islam,32
El Salvador,North America,6283000,45.2,94.1,14.3,Christianity,1
Equatorial Guinea,Africa,1877000,4.8,89.4,6.3,Christianity,1
Eritrea,Africa,3535000,2.4,46.0,66.7,Islam,10
Estonia,Europe,1295000,4.7,47.5,0.0,Non-Religious,0
Eswatini,Africa,1222000,20.7,83.7,22.2,Christianity,2
Ethiopia,Africa,134440000,17.9,58.2,26.7,Christianity,32
Falkland Islands,Latin America,2800,9.0,64.1,0.0,Christianity,0
Faroe Islands,Europe,55000,33.2,90.9,0.0,Christianity,0
Fiji,Oceania,912000,26.5,64.2,3.2,Christianity,1
Finland,Europe,5511000,10.2,80.4,34.6,Christianity,9
France,Europe,66551000,1.3,62.2,33.6,Christianity,39
French Guiana,Latin America,303000,5.8,80.7,4.8,Christianity,1
French Polynesia,Oceania,269000,7.9,89.4,0.0,Christianity,0
Gabon,Africa,2535000,10.8,73.4,13.5,Christianity,7
Gambia,Africa,2772000,0.9,3.5,53.8,Islam,14
Georgia,Europe,3718000,1.4,80.1,44.4,Christianity,12
Germany,Europe,83991000,2.1,61.5,36.5,Christianity,38
Ghana,Africa,34891000,25.9,62.0,14.8,Christianity,16
Gibraltar,Europe,39000,2.2,79.8,50.0,Christianity,3
Greece,Europe,9851000,0.5,87.9,28.3,Christianity,13
Greenland,North America,55000,7.7,95.3,0.0,Christianity,0
Grenada,North America,112000,18.9,92.3,0.0,Christianity,0
Guadeloupe,North America,363000,4.8,95.4,16.7,Christianity,1
Guam,Oceania,163000,16.1,92.5,7.1,Christianity,1
Guatemala,North America,18516000,25.1,95.1,3.5,Christianity,2
